"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Background trait(s)","Study accession",Location
rs67082009-<b>A</b>,"4 x 10-8",(EA),NR,1.0834236,'-,[1.06-1.11],'-,Schizophrenia,schizophrenia,'-,GCST007201,2:145662536
rs35751669-<b>G</b>,"4 x 10-8",(EA),NR,1.085305,'-,[1.06-1.11],TENM3,Schizophrenia,schizophrenia,'-,GCST007201,4:182716504
rs17687067-<b>C</b>,"4 x 10-8",(EA),NR,1.0793308,'-,[1.05-1.11],ZDHHC2,Schizophrenia,schizophrenia,'-,GCST007201,8:17178692
rs783540-<b>G</b>,"5 x 10-8",(EA),NR,1.0616838,'-,[1.04-1.08],'-,Schizophrenia,schizophrenia,'-,GCST007201,"Mapping not available"
rs55833108-<b>T</b>,"5 x 10-8",(EA),NR,1.0764263,'-,[1.05-1.1],CNNM2,Schizophrenia,schizophrenia,'-,GCST007201,10:102981826
rs2068012-<b>C</b>,"6 x 10-8",(EA),NR,1.0729614,'-,[1.05-1.1],PRKD1,Schizophrenia,schizophrenia,'-,GCST007201,14:29721110
rs7653924-<b>T</b>,"6 x 10-8",(EA),NR,1.0615711,'-,[1.04-1.08],SH3RF1,Schizophrenia,schizophrenia,'-,GCST007201,4:169281711
rs12325245-<b>T</b>,"6 x 10-8",(EA),NR,1.0893246,'-,[1.06-1.12],"SLC38A7, CNOT1",Schizophrenia,schizophrenia,'-,GCST007201,16:58647489
rs9695226-<b>G</b>,"7 x 10-8",(EA),NR,1.0648494,'-,[1.04-1.09],'-,Schizophrenia,schizophrenia,'-,GCST007201,"Mapping not available"
rs302321-<b>C</b>,"8 x 10-8",(EA),NR,1.0629252,'-,[1.04-1.09],TMTC1,Schizophrenia,schizophrenia,'-,GCST007201,12:29775455
rs1451488-<b>G</b>,"1 x 10-7",(EA),NR,1.0604454,'-,[1.04-1.08],RNU7-147P,Schizophrenia,schizophrenia,'-,GCST007201,2:199125384
rs4330281-<b>C</b>,"1 x 10-7",(EA),NR,1.0594343,'-,[1.04-1.08],TBC1D5,Schizophrenia,schizophrenia,'-,GCST007201,3:17817874
rs308693-<b>G</b>,"1 x 10-7",(EA),NR,1.064,'-,[1.04-1.09],'-,Schizophrenia,schizophrenia,'-,GCST007201,3:161767619
rs4347184-<b>T</b>,"1 x 10-7",(EA),NR,1.0598,'-,[1.04-1.08],PDE4B,Schizophrenia,schizophrenia,'-,GCST007201,1:65848311
rs3756766-<b>A</b>,"2 x 10-7",(EA),NR,1.0661,'-,[1.04-1.09],"CDC25C, FAM53C",Schizophrenia,schizophrenia,'-,GCST007201,5:138337478
rs12148337-<b>T</b>,"2 x 10-7",(EA),NR,1.0586,'-,[1.04-1.08],'-,Schizophrenia,schizophrenia,'-,GCST007201,15:70296933
rs7372960-<b>T</b>,"2 x 10-7",(EA),NR,1.0693,'-,[1.04-1.09],FOXP1,Schizophrenia,schizophrenia,'-,GCST007201,3:71205600
rs4987094-<b>A</b>,"2 x 10-7",(EA),NR,1.0974,'-,[1.06-1.13],TTC12,Schizophrenia,schizophrenia,'-,GCST007201,11:113345201
rs1506297-<b>T</b>,"2 x 10-7",(EA),NR,1.0625,'-,[1.04-1.09],RBMS3,Schizophrenia,schizophrenia,'-,GCST007201,3:30030816
rs7523273-<b>A</b>,"3 x 10-7",(EA),NR,1.0613,'-,[1.04-1.08],MIR29B2CHG,Schizophrenia,schizophrenia,'-,GCST007201,1:207803738
rs12619354-<b>T</b>,"3 x 10-7",(EA),NR,1.0609,'-,[1.04-1.08],'-,Schizophrenia,schizophrenia,'-,GCST007201,2:193138056
rs112509803-<b>C</b>,"3 x 10-7",(EA),NR,1.0919,'-,[1.06-1.13],"MPP6, GSDME",Schizophrenia,schizophrenia,'-,GCST007201,7:24695385
rs9420-<b>A</b>,"4 x 10-7",(EA),NR,1.0599,'-,[1.04-1.08],SELENOH,Schizophrenia,schizophrenia,'-,GCST007201,11:57742822
rs12543645-<b>C</b>,"4 x 10-7",(EA),NR,1.059,'-,[1.04-1.08],MSRA,Schizophrenia,schizophrenia,'-,GCST007201,8:10388815
rs73219805-<b>A</b>,"4 x 10-7",(EA),NR,1.0772,'-,[1.05-1.11],BNIP3L,Schizophrenia,schizophrenia,'-,GCST007201,8:26415252
rs14403-<b>C</b>,"4 x 10-7",(EA),NR,1.069,'-,[1.04-1.1],AKT3,Schizophrenia,schizophrenia,'-,GCST007201,1:243500591
rs9970077-<b>A</b>,"5 x 10-7",(EA),NR,1.0756,'-,[1.05-1.1],LINC01741,Schizophrenia,schizophrenia,'-,GCST007201,1:177791783
rs55757091-<b>A</b>,"5 x 10-7",(EA),NR,1.0747,'-,[1.05-1.1],"SLC7A6OS, SLC7A6",Schizophrenia,schizophrenia,'-,GCST007201,16:68289751
rs56873913-<b>T</b>,"7 x 10-7",(EA),NR,1.0679,'-,[1.04-1.09],"PRRG2, NOSIP",Schizophrenia,schizophrenia,'-,GCST007201,19:49587942
rs72843506-<b>A</b>,"9 x 10-7",(EA),NR,1.0683,'-,[1.04-1.09],SPECC1,Schizophrenia,schizophrenia,'-,GCST007201,17:20042974
rs2905627-<b>T</b>,"9 x 10-7",(EA),NR,1.0597,'-,[1.04-1.08],CXXC4-AS1,Schizophrenia,schizophrenia,'-,GCST007201,4:104528928
rs2383377-<b>A</b>,"1 x 10-6",(EA),NR,1.0862,'-,[1.05-1.12],AKAP6,Schizophrenia,schizophrenia,'-,GCST007201,14:32788708
rs112537273-<b>T</b>,"1 x 10-6",(EA),NR,1.0675,'-,[1.04-1.09],LETM2,Schizophrenia,schizophrenia,'-,GCST007201,8:38390788
rs61712019-<b>T</b>,"1 x 10-6",(EA),NR,1.0612,'-,[1.04-1.09],LRRTM4,Schizophrenia,schizophrenia,'-,GCST007201,2:77477763
rs10878577-<b>A</b>,"2 x 10-6",(EA),NR,1.0623,'-,[1.04-1.09],"RAB11AP2, GGTA2P",Schizophrenia,schizophrenia,'-,GCST007201,12:67200061
rs17002069-<b>C</b>,"2 x 10-6",(EA),NR,1.0679,'-,[1.04-1.09],"GAPDHP37, MRTFA",Schizophrenia,schizophrenia,'-,GCST007201,22:40654982
rs4388249-<b>T</b>,"2 x 10-6",(EA),NR,1.0692,'-,[1.04-1.1],MAN2A1,Schizophrenia,schizophrenia,'-,GCST007201,5:109700365
rs7099380-<b>A</b>,"2 x 10-6",(EA),NR,1.0531,'-,[1.03-1.07],CACNB2,Schizophrenia,schizophrenia,'-,GCST007201,10:18260087
rs35662245-<b>A</b>,"2 x 10-6",(EA),NR,1.0554,'-,[1.03-1.08],LINC01911,Schizophrenia,schizophrenia,'-,GCST007201,2:146825619
rs11240341-<b>T</b>,"3 x 10-6",(EA),NR,1.056,'-,[1.03-1.08],CNTN2,Schizophrenia,schizophrenia,'-,GCST007201,1:205046156
rs56775891-<b>T</b>,"3 x 10-6",(EA),NR,1.0592,'-,[1.04-1.08],"CTDP1, KCNG2",Schizophrenia,schizophrenia,'-,GCST007201,18:79815613
rs7807720-<b>A</b>,"3 x 10-6",(EA),NR,1.0538,'-,[1.03-1.08],"RPL3P8, IMMP2L",Schizophrenia,schizophrenia,'-,GCST007201,7:110433698
rs9384900-<b>T</b>,"4 x 10-6",(EA),NR,1.0576,'-,[1.03-1.08],HDAC2-AS2,Schizophrenia,schizophrenia,'-,GCST007201,6:114389931
rs8012642-<b>C</b>,"4 x 10-6",(EA),NR,1.0553,'-,[1.03-1.08],MTCYBP27,Schizophrenia,schizophrenia,'-,GCST007201,14:84203137
rs248083-<b>A</b>,"5 x 10-6",(EA),NR,1.0542,'-,[1.03-1.08],"SELENOTP2, MRPS5P3",Schizophrenia,schizophrenia,'-,GCST007201,5:127174476
rs2247870-<b>A</b>,"6 x 10-6",(EA),NR,1.0504,'-,[1.03-1.07],ADGRV1,Schizophrenia,schizophrenia,'-,GCST007201,5:90855772
rs11102159-<b>T</b>,"8 x 10-6",(EA),NR,1.0573,'-,[1.03-1.08],"Y_RNA, NRBF2P3",Schizophrenia,schizophrenia,'-,GCST007201,1:110782105
rs7273691-<b>T</b>,"8 x 10-6",(EA),NR,1.0624,'-,[1.04-1.09],PHACTR3,Schizophrenia,schizophrenia,'-,GCST007201,20:59678449
rs12911832-<b>A</b>,"8 x 10-6",(EA),NR,1.0556,'-,[1.03-1.08],ADAM10,Schizophrenia,schizophrenia,'-,GCST007201,15:58693705
rs4632195-<b>T</b>,"9 x 10-6",(EA),NR,1.0494,'-,[1.03-1.07],DCC,Schizophrenia,schizophrenia,'-,GCST007201,18:53220378
rs11682175-<b>C</b>,"2 x 10-11",(EA),NR,1.0764263,'-,[1.06-1.1],ACTG1P22,Schizophrenia,schizophrenia,'-,GCST007201,2:57760458
rs11693094-<b>C</b>,"2 x 10-11",(EA),NR,1.0764263,'-,[1.05-1.1],ZNF804A,Schizophrenia,schizophrenia,'-,GCST007201,2:184736693
rs9841616-<b>T</b>,"7 x 10-8",,NR,1.0729614,'-,[1.05-1.1],SOX2-OT,Schizophrenia,schizophrenia,'-,GCST007201,3:181449797
rs215411-<b>A</b>,"4 x 10-9",,NR,1.066,'-,[1.04-1.09],RFPL4AP3,Schizophrenia,schizophrenia,'-,GCST007201,4:23421980
rs4626214-<b>G</b>,"2 x 10-7",,NR,1.0526316,'-,[1.03-1.07],LINC02267,Schizophrenia,schizophrenia,'-,GCST007201,4:96805918
rs11722779-<b>G</b>,"4 x 10-8",,NR,1.0515248,'-,[1.03-1.07],SLC9B1,Schizophrenia,schizophrenia,'-,GCST007201,4:102906331
rs2905627-<b>T</b>,"8 x 10-7",,NR,1.054,'-,[1.03-1.07],CXXC4-AS1,Schizophrenia,schizophrenia,'-,GCST007201,4:104528928
rs4833558-<b>C</b>,"4 x 10-8",,NR,1.0570824,'-,[1.04-1.08],NDST3,Schizophrenia,schizophrenia,'-,GCST007201,4:117998342
rs7438-<b>A</b>,"1 x 10-8",,NR,1.058,'-,[1.04-1.08],CLCN3,Schizophrenia,schizophrenia,'-,GCST007201,4:169721095
rs6846161-<b>A</b>,"4 x 10-8",,NR,1.062,'-,[1.04-1.08],GPM6A,Schizophrenia,schizophrenia,'-,GCST007201,4:175945308
rs35751669-<b>G</b>,"1 x 10-6",,NR,1.0604454,'-,[1.04-1.08],TENM3,Schizophrenia,schizophrenia,'-,GCST007201,4:182716504
rs9292918-<b>G</b>,"1 x 10-9",,NR,1.0683761,'-,[1.05-1.09],HCN1,Schizophrenia,schizophrenia,'-,GCST007201,5:45300933
rs56873913-<b>T</b>,"2 x 10-8",,NR,1.069,'-,[1.05-1.09],"PRRG2, NOSIP",Schizophrenia,schizophrenia,'-,GCST007201,19:49587942
rs2103655-<b>A</b>,"6 x 10-11",,NR,1.068,'-,[1.05-1.09],"ACTR5, PPP1R16B",Schizophrenia,schizophrenia,'-,GCST007201,20:38797315
rs7267348-<b>C</b>,"8 x 10-9",,NR,1.0638298,'-,[1.04-1.08],'-,Schizophrenia,schizophrenia,'-,GCST007201,"Mapping not available"
rs7273691-<b>T</b>,"3 x 10-6",,NR,1.061,'-,[1.04-1.09],PHACTR3,Schizophrenia,schizophrenia,'-,GCST007201,20:59678449
rs5757730-<b>G</b>,"2 x 10-10",,NR,1.0729614,'-,[1.05-1.09],CACNA1I,Schizophrenia,schizophrenia,'-,GCST007201,22:39571425
rs714031-<b>C</b>,"3 x 10-7",,NR,1.0559661,'-,[1.03-1.08],CACNA1I,Schizophrenia,schizophrenia,'-,GCST007201,22:39674229
rs17002069-<b>C</b>,"1 x 10-8",,NR,1.07,'-,[1.05-1.09],"GAPDHP37, MRTFA",Schizophrenia,schizophrenia,'-,GCST007201,22:40654982
rs9607782-<b>A</b>,"4 x 10-13",,NR,1.093,'-,[1.07-1.12],EP300-AS1,Schizophrenia,schizophrenia,'-,GCST007201,22:41191552
rs6002655-<b>T</b>,"1 x 10-8",,NR,1.059,'-,[1.04-1.08],TCF20,Schizophrenia,schizophrenia,'-,GCST007201,22:42207808
rs1024582-<b>A</b>,"6 x 10-18",(EA),NR,1.1037527,'-,[1.08-1.13],CACNA1C,Schizophrenia,schizophrenia,'-,GCST007201,12:2293080
rs7085104-<b>A</b>,"1 x 10-17",(EA),NR,1.1025358,'-,[1.08-1.12],'-,Schizophrenia,schizophrenia,'-,GCST007201,"Mapping not available"
rs796364-<b>C</b>,"5 x 10-14",(EA),NR,1.1088934,'-,[1.08-1.14],"FTCDNL1, RN7SL717P",Schizophrenia,schizophrenia,'-,GCST007201,2:199851396
rs12668848-<b>G</b>,"1 x 10-13",(EA),NR,1.0855407,'-,[1.06-1.11],MAD1L1,Schizophrenia,schizophrenia,'-,GCST007201,7:1981360
rs4129585-<b>A</b>,"4 x 10-13",(EA),NR,1.0822511,'-,[1.06-1.1],TSNARE1,Schizophrenia,schizophrenia,'-,GCST007201,8:142231572
rs10791098-<b>T</b>,"2 x 10-12",(EA),NR,1.0799136,'-,[1.06-1.1],LINC02551,Schizophrenia,schizophrenia,'-,GCST007201,11:130848816
rs75968099-<b>T</b>,"2 x 10-12",(EA),NR,1.0834236,'-,[1.06-1.11],"HSPD1P6, LINC02033",Schizophrenia,schizophrenia,'-,GCST007201,3:36817092
rs1615350-<b>C</b>,"4 x 10-12",(EA),NR,1.0888501,'-,[1.06-1.11],MPHOSPH9,Schizophrenia,schizophrenia,'-,GCST007201,12:123165788
rs38752-<b>T</b>,"5 x 10-12",(EA),NR,1.0822511,'-,[1.06-1.1],IMMP2L,Schizophrenia,schizophrenia,'-,GCST007201,7:111438856
rs9461856-<b>A</b>,"7 x 10-12",(EA),NR,1.0775862,'-,[1.06-1.1],SYNGAP1,Schizophrenia,schizophrenia,'-,GCST007201,6:33427422
rs778371-<b>G</b>,"8 x 10-12",(EA),NR,1.0854228,'-,[1.06-1.11],SNORC,Schizophrenia,schizophrenia,'-,GCST007201,2:232878399
rs2905426-<b>G</b>,"4 x 10-9",(EA),NR,1.0695187,'-,[1.05-1.09],"GATAD2A, MAU2",Schizophrenia,schizophrenia,'-,GCST007201,19:19367213
rs2910032-<b>C</b>,"5 x 10-9",(EA),NR,1.0650761,'-,[1.04-1.09],LINC01470,Schizophrenia,schizophrenia,'-,GCST007201,5:153160794
rs6738529-<b>G</b>,"6 x 10-9",(EA),NR,1.0706638,'-,[1.05-1.09],"GIGYF2, EFHD1",Schizophrenia,schizophrenia,'-,GCST007201,2:232686251
rs73191547-<b>T</b>,"6 x 10-9",(EA),NR,1.0695187,'-,[1.05-1.09],MSRA,Schizophrenia,schizophrenia,'-,GCST007201,8:10175915
rs75575209-<b>T</b>,"9 x 10-9",(EA),NR,1.118068,'-,[1.08-1.16],VRK2,Schizophrenia,schizophrenia,'-,GCST007201,2:57911057
rs2194545-<b>G</b>,"9 x 10-7",(EA),NR,1.054741,'-,[1.03-1.08],"LINC01807, SNF8P1",Schizophrenia,schizophrenia,'-,GCST007201,2:228418495
rs61847307-<b>C</b>,"1 x 10-6",(EA),NR,1.0616838,'-,[1.04-1.09],PRKG1,Schizophrenia,schizophrenia,'-,GCST007201,10:52184682
rs12623170-<b>C</b>,"1 x 10-6",(EA),NR,1.0670081,'-,[1.04-1.09],"MRPL33, RBKS",Schizophrenia,schizophrenia,'-,GCST007201,2:27797290
rs6500596-<b>G</b>,"1 x 10-6",(EA),NR,1.0632641,'-,[1.04-1.09],"CORO7, CORO7-PAM16",Schizophrenia,schizophrenia,'-,GCST007201,16:4420026
rs28607014-<b>C</b>,"1 x 10-6",(EA),NR,1.056859,'-,[1.03-1.08],NOS1,Schizophrenia,schizophrenia,'-,GCST007201,12:117270806
rs11625793-<b>G</b>,"1 x 10-6",(EA),NR,1.0557432,'-,[1.03-1.08],NCOA4P1,Schizophrenia,schizophrenia,'-,GCST007201,14:65849165
rs9292918-<b>G</b>,"1 x 10-6",(EA),NR,1.0699764,'-,[1.04-1.1],HCN1,Schizophrenia,schizophrenia,'-,GCST007201,5:45300933
rs2358740-<b>G</b>,"1 x 10-6",(EA),NR,1.0577533,'-,[1.04-1.08],CACNA1D,Schizophrenia,schizophrenia,'-,GCST007201,3:53421542
rs1864774-<b>C</b>,"2 x 10-6",(EA),NR,1.0532968,'-,[1.03-1.07],DLG2,Schizophrenia,schizophrenia,'-,GCST007201,11:83488233
rs3824451-<b>C</b>,"3 x 10-6",(EA),NR,1.0733069,'-,[1.04-1.1],GABBR2,Schizophrenia,schizophrenia,'-,GCST007201,9:98309240
rs221780-<b>G</b>,"3 x 10-6",(EA),NR,1.0719262,'-,[1.04-1.1],"GIGYF1, POP7",Schizophrenia,schizophrenia,'-,GCST007201,7:100699412
rs7619427-<b>G</b>,"3 x 10-6",(EA),NR,1.0833063,'-,[1.05-1.12],RNU6-367P,Schizophrenia,schizophrenia,'-,GCST007201,3:44035549
rs7915131-<b>C</b>,"3 x 10-6",(EA),NR,1.0521885,'-,[1.03-1.07],ALDH7A1P4,Schizophrenia,schizophrenia,'-,GCST007201,10:62658896
rs12431410-<b>C</b>,"3 x 10-6",(EA),NR,1.0539628,'-,[1.03-1.08],RTN1,Schizophrenia,schizophrenia,'-,GCST007201,14:59699304
rs4626214-<b>G</b>,"4 x 10-6",(EA),NR,1.0530751,'-,[1.03-1.08],LINC02267,Schizophrenia,schizophrenia,'-,GCST007201,4:96805918
rs12139672-<b>G</b>,"4 x 10-6",(EA),NR,1.064396,'-,[1.04-1.09],'-,Schizophrenia,schizophrenia,'-,GCST007201,1:190971497
rs10124101-<b>G</b>,"5 x 10-6",(EA),NR,1.0516353,'-,[1.03-1.07],"RNF38, HMGB3P24",Schizophrenia,schizophrenia,'-,GCST007201,9:36308830
rs7529073-<b>C</b>,"6 x 10-6",(EA),NR,1.0504202,'-,[1.03-1.07],PROX1-AS1,Schizophrenia,schizophrenia,'-,GCST007201,1:213974546
rs758129-<b>G</b>,"6 x 10-6",(EA),NR,1.0526316,'-,[1.03-1.07],"MIR9-3HG, POLG-DT",Schizophrenia,schizophrenia,'-,GCST007201,15:89357656
rs13259407-<b>C</b>,"9 x 10-6",(EA),NR,1.0500892,'-,[1.03-1.07],PSD3,Schizophrenia,schizophrenia,'-,GCST007201,8:18565413
rs115329265-<b>A</b>,"6 x 10-33",(EA),NR,1.217,'-,[1.18-1.25],"RPSAP2, NOP56P1",Schizophrenia,schizophrenia,'-,GCST007201,6:28744470
rs150817755-<b>T</b>,"1 x 10-29",(EA),NR,1.261,'-,[1.22-1.3],"OR2G1P, OR2U1P",Schizophrenia,schizophrenia,'-,GCST007201,6:29238906
rs116757206-<b>G</b>,"1 x 10-25",(EA),NR,1.239,'-,[1.2-1.28],"ZNF311, OR2AD1P",Schizophrenia,schizophrenia,'-,GCST007201,6:29015497
rs114071887-<b>G</b>,"7 x 10-25",(EA),NR,1.239,'-,[1.2-1.28],"OR12D3, OR5V1",Schizophrenia,schizophrenia,'-,GCST007201,6:29374998
rs17720293-<b>C</b>,"3 x 10-23",(EA),NR,1.197,'-,[1.16-1.23],ZKSCAN4,Schizophrenia,schizophrenia,'-,GCST007201,6:28246920
rs13261217-<b>G</b>,"1 x 10-7",(EA),NR,1.0729614,'-,[1.05-1.1],CSMD1,Schizophrenia,schizophrenia,'-,GCST007201,8:4325535
rs34321714-<b>G</b>,"1 x 10-7",(EA),NR,1.0592098,'-,[1.04-1.08],RIMS1,Schizophrenia,schizophrenia,'-,GCST007201,6:72454442
rs1878561-<b>A</b>,"1 x 10-7",(EA),NR,1.059322,'-,[1.04-1.08],FAM86B3P,Schizophrenia,schizophrenia,'-,GCST007201,8:8234883
rs7267348-<b>C</b>,"1 x 10-7",(EA),NR,1.0680337,'-,[1.04-1.09],'-,Schizophrenia,schizophrenia,'-,GCST007201,"Mapping not available"
rs7438-<b>G</b>,"1 x 10-7",(EA),NR,1.0594343,'-,[1.04-1.08],CLCN3,Schizophrenia,schizophrenia,'-,GCST007201,4:169721095
rs35430959-<b>C</b>,"2 x 10-7",(EA),NR,1.0729614,'-,[1.05-1.1],PNPP1,Schizophrenia,schizophrenia,'-,GCST007201,2:76238162
rs11982256-<b>T</b>,"2 x 10-7",(EA),NR,1.1731582,'-,[1.11-1.23],DMTF1,Schizophrenia,schizophrenia,'-,GCST007201,7:87170125
rs62148129-<b>A</b>,"2 x 10-7",(EA),NR,1.0857763,'-,[1.05-1.12],SFXN5,Schizophrenia,schizophrenia,'-,GCST007201,2:72977074
rs35978510-<b>C</b>,"2 x 10-7",(EA),NR,1.0645093,'-,[1.04-1.09],AKT3,Schizophrenia,schizophrenia,'-,GCST007201,1:243612815
rs9398171-<b>C</b>,"3 x 10-7",(EA),NR,1.0631511,'-,[1.04-1.09],FOXO3,Schizophrenia,schizophrenia,'-,GCST007201,6:108662324
rs2734325-<b>T</b>,"3 x 10-7",(EA),NR,1.0615711,'-,[1.04-1.08],STK19,Schizophrenia,schizophrenia,'-,GCST007201,6:31977869
rs6990941-<b>C</b>,"3 x 10-7",(EA),NR,1.0752687,'-,[1.05-1.1],'-,Schizophrenia,schizophrenia,'-,GCST007201,8:88632202
rs7022054-<b>G</b>,"3 x 10-7",(EA),NR,1.0576415,'-,[1.04-1.08],KDM4C,Schizophrenia,schizophrenia,'-,GCST007201,9:7173500
rs6434928-<b>G</b>,"1 x 10-11",(EA),NR,1.0818998,'-,[1.06-1.1],"SF3B1, RNU6-1029P",Schizophrenia,schizophrenia,'-,GCST007201,2:197439853
rs314272-<b>G</b>,"3 x 10-7",(EA),NR,1.0570824,'-,[1.04-1.08],LIN28B,Schizophrenia,schizophrenia,'-,GCST007201,6:105014129
rs7727515-<b>G</b>,"3 x 10-7",(EA),NR,1.0956502,'-,[1.06-1.13],GRIA1,Schizophrenia,schizophrenia,'-,GCST007201,5:153512744
rs7934083-<b>C</b>,"4 x 10-7",(EA),NR,1.0575297,'-,[1.04-1.08],MTND4LP18,Schizophrenia,schizophrenia,'-,GCST007201,11:81492479
rs9841616-<b>T</b>,"4 x 10-7",(EA),NR,1.077122,'-,[1.05-1.11],SOX2-OT,Schizophrenia,schizophrenia,'-,GCST007201,3:181449797
rs4240748-<b>G</b>,"4 x 10-7",(EA),NR,1.0589855,'-,[1.04-1.08],LINC02404,Schizophrenia,schizophrenia,'-,GCST007201,12:91853010
rs12327082-<b>T</b>,"5 x 10-7",(EA),NR,1.0559661,'-,[1.03-1.08],NOL4,Schizophrenia,schizophrenia,'-,GCST007201,18:34011495
rs34102591-<b>G</b>,"5 x 10-7",(EA),NR,1.0718113,'-,[1.04-1.1],"RFLNA, ZNF664",Schizophrenia,schizophrenia,'-,GCST007201,12:123996254
rs7445192-<b>G</b>,"5 x 10-7",(EA),NR,1.0559661,'-,[1.03-1.08],"PCDHA1, VTRNA1-3",Schizophrenia,schizophrenia,'-,GCST007201,5:140759116
rs895526-<b>C</b>,"6 x 10-7",(EA),NR,1.0742292,'-,[1.05-1.1],SATB2,Schizophrenia,schizophrenia,'-,GCST007201,2:199297702
rs7010876-<b>T</b>,"7 x 10-7",(EA),NR,1.0615711,'-,[1.04-1.09],MMP16,Schizophrenia,schizophrenia,'-,GCST007201,8:88252522
rs12190758-<b>G</b>,"7 x 10-7",(EA),NR,1.0638298,'-,[1.04-1.09],"U3, LINC02531",Schizophrenia,schizophrenia,'-,GCST007201,6:92438623
rs10940346-<b>G</b>,"2 x 10-7",,NR,1.049318,'-,[1.03-1.07],EMB,Schizophrenia,schizophrenia,'-,GCST007201,5:50510208
rs4391122-<b>A</b>,"5 x 10-13",,NR,1.074,'-,[1.05-1.09],LINC02057,Schizophrenia,schizophrenia,'-,GCST007201,5:61302716
rs1065861-<b>T</b>,"3 x 10-7",,NR,1.0928961,'-,[1.06-1.13],MEF2C,Schizophrenia,schizophrenia,'-,GCST007201,5:88796133
rs2247870-<b>A</b>,"5 x 10-7",,NR,1.047,'-,[1.03-1.07],ADGRV1,Schizophrenia,schizophrenia,'-,GCST007201,5:90855772
rs4388249-<b>T</b>,"2 x 10-8",,NR,1.065,'-,[1.04-1.09],MAN2A1,Schizophrenia,schizophrenia,'-,GCST007201,5:109700365
rs248083-<b>A</b>,"2 x 10-7",,NR,1.054,'-,[1.03-1.07],"SELENOTP2, MRPS5P3",Schizophrenia,schizophrenia,'-,GCST007201,5:127174476
rs2764766-<b>C</b>,"2 x 10-8",,NR,1.055,'-,[1.04-1.07],CCDC192,Schizophrenia,schizophrenia,'-,GCST007201,5:127877933
rs146300688-<b>C</b>,"4 x 10-6","(East Asian)",NR,1.2468828,'-,[1.09-1.4],LINC01320,Schizophrenia,schizophrenia,'-,GCST007201,2:34062217
rs820970-<b>G</b>,"5 x 10-6","(East Asian)",NR,1.123,'-,[1.07-1.18],'-,Schizophrenia,schizophrenia,'-,GCST007201,2:57513953
rs1518395-<b>G</b>,"1 x 10-12","(East Asian)",NR,1.1376565,'-,[1.1-1.17],VRK2,Schizophrenia,schizophrenia,'-,GCST007201,2:57980939
rs8012642-<b>C</b>,"7 x 10-8",,NR,1.056,'-,[1.04-1.08],MTCYBP27,Schizophrenia,schizophrenia,'-,GCST007201,14:84203137
rs2693698-<b>G</b>,"5 x 10-8",,NR,1.0615711,'-,[1.04-1.08],BCL11B,Schizophrenia,schizophrenia,'-,GCST007201,14:99252882
rs12887734-<b>T</b>,"1 x 10-12",,NR,1.078,'-,[1.06-1.1],"COA8, KLC1",Schizophrenia,schizophrenia,'-,GCST007201,14:103580497
rs12911832-<b>A</b>,"4 x 10-8",,NR,1.061,'-,[1.04-1.08],ADAM10,Schizophrenia,schizophrenia,'-,GCST007201,15:58693705
rs35225048-<b>C</b>,"4 x 10-13",,NR,1.0706638,'-,[1.05-1.09],'-,Schizophrenia,schizophrenia,'-,GCST007201,15:61564064
rs12148337-<b>T</b>,"6 x 10-10",,NR,1.059,'-,[1.04-1.08],'-,Schizophrenia,schizophrenia,'-,GCST007201,15:70296933
rs3825845-<b>C</b>,"4 x 10-10",,NR,1.0729614,'-,[1.05-1.1],CHRNA3,Schizophrenia,schizophrenia,'-,GCST007201,15:78617916
rs783540-<b>G</b>,"9 x 10-9",,NR,1.0548522,'-,[1.04-1.07],'-,Schizophrenia,schizophrenia,'-,GCST007201,"Mapping not available"
rs950169-<b>C</b>,"2 x 10-11",,NR,1.0822511,'-,[1.06-1.11],ADAMTSL3,Schizophrenia,schizophrenia,'-,GCST007201,15:84037709
rs758129-<b>G</b>,"3 x 10-7",,NR,1.0537407,'-,[1.03-1.07],"MIR9-3HG, POLG-DT",Schizophrenia,schizophrenia,'-,GCST007201,15:89357656
rs11539637-<b>T</b>,"4 x 10-9",,NR,1.063,'-,[1.04-1.08],FES,Schizophrenia,schizophrenia,'-,GCST007201,15:90885060
rs6500596-<b>G</b>,"2 x 10-7",,NR,1.0582011,'-,[1.04-1.08],"CORO7, CORO7-PAM16",Schizophrenia,schizophrenia,'-,GCST007201,16:4420026
rs9922678-<b>A</b>,"2 x 10-8",,NR,1.062,'-,[1.04-1.08],GRIN2A,Schizophrenia,schizophrenia,'-,GCST007201,16:9852462
rs7405404-<b>T</b>,"7 x 10-9",,NR,1.07,'-,[1.05-1.09],'-,Schizophrenia,schizophrenia,'-,GCST007201,"Mapping not available"
rs3814881-<b>G</b>,"4 x 10-12",,NR,1.0672358,'-,[1.05-1.09],TAOK2,Schizophrenia,schizophrenia,'-,GCST007201,16:29989580
rs12325245-<b>T</b>,"2 x 10-7",,NR,1.0729614,'-,[1.05-1.1],"SLC38A7, CNOT1",Schizophrenia,schizophrenia,'-,GCST007201,16:58647489
rs7193419-<b>T</b>,"2 x 10-7",,NR,1.05,'-,[1.03-1.07],"LINC02165, LINC02858",Schizophrenia,schizophrenia,'-,GCST007201,16:63663230
