"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Background trait(s)","Study accession",Location
rs9508025-<b>C</b>,"6 x 10-7",,0.50,1.14,'-,[1.08-1.20],FLT1,"Coronary heart disease","coronary artery disease",'-,GCST001845,13:28409926
rs11752643-<b>T</b>,"5 x 10-7",,0.06,1.26,'-,[1.15-1.38],"MTCO3P1, HLA-DQB1","Coronary heart disease","coronary artery disease",'-,GCST001260,6:32701596
rs944797-<b>C</b>,"6 x 10-16",,0.46,1.25,'-,[1.18-1.31],CDKN2B-AS1,"Coronary heart disease","coronary artery disease",'-,GCST001260,9:22115287
rs671-<b>A</b>,"2 x 10-34",,0.23,1.43,'-,[1.35-1.51],ALDH2,"Coronary heart disease","coronary artery disease",'-,GCST001260,12:111803962
rs17672135-<b>T</b>,"2 x 10-6",,0.87,1.43,'-,[1.23-1.64],FMN2,"Coronary heart disease","coronary artery disease",'-,GCST000045,1:240282296
rs688034-<b>T</b>,"4 x 10-6",,0.31,1.11,'-,[0.99-1.25],SEZ6L,"Coronary heart disease","coronary artery disease",'-,GCST000045,22:26293669
rs1333049-<b>C</b>,"1 x 10-13",,0.47,1.47,'-,[1.27-1.70],CDKN2B-AS1,"Coronary heart disease","coronary artery disease",'-,GCST000045,9:22125504
rs8055236-<b>G</b>,"6 x 10-6",,0.80,1.91,'-,[1.33-2.74],CDH13,"Coronary heart disease","coronary artery disease",'-,GCST000045,16:83178793
rs599839-<b>A</b>,"4 x 10-9",,0.77,1.29,'-,[1.18-1.40],"CELSR2, PSRC1","Coronary heart disease","coronary artery disease",'-,GCST000057,1:109279544
rs17228212-<b>C</b>,"2 x 10-7",,0.30,1.21,'-,[1.13-1.30],SMAD3,"Coronary heart disease","coronary artery disease",'-,GCST000057,15:67166301
rs6922269-<b>A</b>,"3 x 10-8",,0.25,1.23,'-,[1.15-1.33],MTHFD1L,"Coronary heart disease","coronary artery disease",'-,GCST000057,6:150931849
rs2943634-<b>C</b>,"2 x 10-7",,0.65,1.21,'-,[1.13-1.30],'-,"Coronary heart disease","coronary artery disease",'-,GCST000057,2:226203364
rs501120-<b>T</b>,"9 x 10-8",,0.87,1.33,'-,[1.20-1.48],LINC02881,"Coronary heart disease","coronary artery disease",'-,GCST000057,10:44258419
rs17465637-<b>C</b>,"1 x 10-6",,0.71,1.2,'-,[1.12-1.30],MIA3,"Coronary heart disease","coronary artery disease",'-,GCST000057,1:222650187
rs1333049-<b>C</b>,"3 x 10-19",,0.47,1.36,'-,[1.27-1.46],CDKN2B-AS1,"Coronary heart disease","coronary artery disease",'-,GCST000057,9:22125504
"rs10755578-<b>C</b>, rs2048327-<b>C</b>, rs7767084-<b>T</b>, rs3127599-<b>C</b>","4 x 10-15",,0.02,1.82,'-,[1.57-2.12],"LPA; SLC22A3; LPA; No mapped genes","Coronary heart disease","coronary artery disease",'-,GCST000341,6:160548706|6:160442500|6:160541471
"rs10755578-<b>G</b>, rs2048327-<b>C</b>, rs7767084-<b>T</b>, rs3127599-<b>T</b>","1 x 10-9",,0.16,1.2,'-,[1.13-1.28],"LPA; SLC22A3; LPA; No mapped genes","Coronary heart disease","coronary artery disease",'-,GCST000341,6:160548706|6:160442500|6:160541471
rs9982601-<b>T</b>,"4 x 10-10",,0.15,1.18,'-,[1.12-1.24],"KCNE2, LINC00310","Coronary heart disease","coronary artery disease",'-,GCST000998,21:34226827
rs17465637-<b>C</b>,"1 x 10-8",,0.74,1.14,'-,[1.09-1.20],MIA3,"Coronary heart disease","coronary artery disease",'-,GCST000998,1:222650187
rs7808424-<b>G</b>,"1 x 10-6",,0.12,1.1,'-,[1.06-1.14],"CFTR, ASZ1","Coronary heart disease","coronary artery disease",'-,GCST000998,7:117427768
rs216172-<b>C</b>,"1 x 10-9",,0.37,1.07,'-,[1.05-1.09],SMG6,"Coronary heart disease","coronary artery disease",'-,GCST000998,17:2223210
rs12936587-<b>G</b>,"4 x 10-10",,0.56,1.07,'-,[1.05-1.09],"PEMT, SMCR2","Coronary heart disease","coronary artery disease",'-,GCST000998,17:17640408
rs11206510-<b>T</b>,"9 x 10-8",,0.82,1.08,'-,[1.05-1.11],"PCSK9, BSND","Coronary heart disease","coronary artery disease",'-,GCST000998,1:55030366
rs17114036-<b>A</b>,"4 x 10-19",,0.91,1.17,'-,[1.13-1.22],PLPP3,"Coronary heart disease","coronary artery disease",'-,GCST000998,1:56497149
rs12190287-<b>C</b>,"1 x 10-12",,0.62,1.08,'-,[1.06-1.10],TCF21,"Coronary heart disease","coronary artery disease",'-,GCST000998,6:133893387
rs11556924-<b>C</b>,"9 x 10-18",,0.62,1.09,'-,[1.07-1.12],ZC3HC1,"Coronary heart disease","coronary artery disease",'-,GCST000998,7:130023656
rs12413409-<b>G</b>,"1 x 10-9",,0.89,1.12,'-,[1.08-1.16],CNNM2,"Coronary heart disease","coronary artery disease",'-,GCST000998,10:102959339
rs4773144-<b>G</b>,"4 x 10-9",,0.44,1.07,'-,[1.05-1.09],COL4A2,"Coronary heart disease","coronary artery disease",'-,GCST000998,13:110308365
rs2895811-<b>C</b>,"1 x 10-10",,0.43,1.07,'-,[1.05-1.10],HHIPL1,"Coronary heart disease","coronary artery disease",'-,GCST000998,14:99667605
rs3798220-<b>C</b>,"3 x 10-11",,0.02,1.51,'-,[1.33-1.70],LPA,"Coronary heart disease","coronary artery disease",'-,GCST000998,6:160540105
rs3184504-<b>T</b>,"6 x 10-6",,0.44,1.07,'-,[1.04-1.10],"ATXN2, SH2B3","Coronary heart disease","coronary artery disease",'-,GCST000998,12:111446804
rs7651039-<b>C</b>,"2 x 10-6",,0.54,1.06,'-,[1.04-1.09],BTD,"Coronary heart disease","coronary artery disease",'-,GCST000998,3:15606497
rs4937126-<b>G</b>,"5 x 10-6",,0.69,1.06,'-,[1.04-1.09],ST3GAL4,"Coronary heart disease","coronary artery disease",'-,GCST000998,11:126412002
rs1746048-<b>C</b>,"3 x 10-10",,0.87,1.09,'-,[1.07-1.13],LINC02881,"Coronary heart disease","coronary artery disease",'-,GCST000998,10:44280376
rs17609940-<b>G</b>,"1 x 10-8",,0.75,1.07,'-,[1.05-1.10],ANKS1A,"Coronary heart disease","coronary artery disease",'-,GCST000998,6:35067023
rs579459-<b>C</b>,"4 x 10-14",,0.21,1.1,'-,[1.07-1.13],"ABO, Y_RNA","Coronary heart disease","coronary artery disease",'-,GCST000998,9:133278724
rs964184-<b>G</b>,"1 x 10-17",,0.13,1.13,'-,[1.10-1.16],ZPR1,"Coronary heart disease","coronary artery disease",'-,GCST000998,11:116778201
rs3825807-<b>A</b>,"1 x 10-12",,0.57,1.08,'-,[1.06-1.10],ADAMTS7,"Coronary heart disease","coronary artery disease",'-,GCST000998,15:78796769
rs2306374-<b>C</b>,"3 x 10-8",,0.18,1.12,'-,[1.07-1.16],MRAS,"Coronary heart disease","coronary artery disease",'-,GCST000998,3:138401110
rs6725887-<b>C</b>,"1 x 10-9",,0.15,1.14,'-,[1.09-1.19],WDR12,"Coronary heart disease","coronary artery disease",'-,GCST000998,2:202881162
rs4977574-<b>G</b>,"1 x 10-22",,0.46,1.29,'-,[1.23-1.36],CDKN2B-AS1,"Coronary heart disease","coronary artery disease",'-,GCST000998,9:22098575
rs1122608-<b>G</b>,"1 x 10-9",,0.77,1.14,'-,[1.09-1.18],SMARCA4,"Coronary heart disease","coronary artery disease",'-,GCST000998,19:11052925
rs599839-<b>A</b>,"3 x 10-10",,0.78,1.11,'-,[1.08-1.15],"CELSR2, PSRC1","Coronary heart disease","coronary artery disease",'-,GCST000998,1:109279544
rs10933436-<b>A</b>,"7 x 10-6",,0.49,1.06,'-,[1.04-1.09],INPP5D,"Coronary heart disease","coronary artery disease",'-,GCST000998,2:233133771
rs12526453-<b>C</b>,"1 x 10-9",,0.67,1.1,'-,[1.06-1.13],PHACTR1,"Coronary heart disease","coronary artery disease",'-,GCST000998,6:12927312
rs1231206-<b>A</b>,"9 x 10-10",,0.37,1.07,'-,[1.05-1.09],SMG6,"Coronary heart disease","coronary artery disease",'-,GCST000998,17:2222311
rs46522-<b>T</b>,"2 x 10-8",,0.53,1.06,'-,[1.04-1.08],UBE2Z,"Coronary heart disease","coronary artery disease",'-,GCST000998,17:48911235
rs9349379-<b>G</b>,"8 x 10-10",(CAD),0.349,1.338,'-,[1.22-1.47],PHACTR1,"Coronary heart disease","coronary artery disease",'-,GCST001581,6:12903725
rs9349379-<b>G</b>,"4 x 10-7",(RCA),0.349,1.23,'-,[1.14-1.33],PHACTR1,"Coronary heart disease","coronary artery disease",'-,GCST001581,6:12903725
rs9349379-<b>G</b>,"6 x 10-12",(LAD),0.349,1.187,'-,[1.22-1.44],PHACTR1,"Coronary heart disease","coronary artery disease",'-,GCST001581,6:12903725
rs9349379-<b>G</b>,"2 x 10-9",,0.74,1.15,'-,[1.10-1.21],PHACTR1,"Coronary heart disease","coronary artery disease",'-,GCST001587,6:12903725
rs12524865-<b>C</b>,"2 x 10-7",,0.61,1.11,'-,[1.06-1.16],TARID,"Coronary heart disease","coronary artery disease",'-,GCST001587,6:133875536
rs7136259-<b>T</b>,"6 x 10-10",,0.39,1.11,'-,[1.08-1.15],ATP2B1,"Coronary heart disease","coronary artery disease",'-,GCST001587,12:89687411
rs2123536-<b>T</b>,"7 x 10-11",,0.39,1.12,'-,[1.08-1.16],CISD1P1,"Coronary heart disease","coronary artery disease",'-,GCST001587,2:19745816
rs1842896-<b>T</b>,"1 x 10-11",,0.76,1.14,'-,[1.10-1.19],GUCY1A1,"Coronary heart disease","coronary artery disease",'-,GCST001587,4:155590307
rs9268402-<b>G</b>,"3 x 10-15",,0.59,1.16,'-,[1.12-1.20],TSBP1-AS1,"Coronary heart disease","coronary artery disease",'-,GCST001587,6:32373576
rs10757274-<b>G</b>,"8 x 10-45",,0.46,1.37,'-,[1.31-1.43],CDKN2B-AS1,"Coronary heart disease","coronary artery disease",'-,GCST001587,9:22096056
rs11066280-<b>A</b>,"2 x 10-11",,0.17,1.19,'-,[1.13-1.25],HECTD4,"Coronary heart disease","coronary artery disease",'-,GCST001587,12:112379979
rs1333049-<b>C</b>,"3 x 10-56",,NR,1.24,'-,[1.21-1.28],CDKN2B-AS1,"Coronary artery disease","coronary artery disease",'-,GCST002289,9:22125504
rs9369640-<b>?</b>,"3 x 10-11",,NR,1.0989,'-,[1.08-1.14],PHACTR1,"Coronary artery disease","coronary artery disease",'-,GCST002289,6:12901209
rs1122608-<b>?</b>,"3 x 10-11",,NR,1.1364,'-,[1.09-1.18],SMARCA4,"Coronary artery disease","coronary artery disease",'-,GCST002289,19:11052925
rs9982601-<b>T</b>,"3 x 10-10",,NR,1.18,'-,[1.12-1.24],"KCNE2, LINC00310","Coronary artery disease","coronary artery disease",'-,GCST002289,21:34226827
rs11556924-<b>?</b>,"3 x 10-10",,NR,1.0989,'-,[1.06-1.12],ZC3HC1,"Coronary artery disease","coronary artery disease",'-,GCST002289,7:130023656
rs12190287-<b>?</b>,"2 x 10-9",,NR,1.1111,'-,[1.08-1.15],TCF21,"Coronary artery disease","coronary artery disease",'-,GCST002289,6:133893387
rs17114036-<b>?</b>,"1 x 10-8",,NR,1.1494,'-,[1.1-1.22],PLPP3,"Coronary artery disease","coronary artery disease",'-,GCST002289,1:56497149
rs602633-<b>?</b>,"1 x 10-8",,NR,1.1111,'-,[1.08-1.15],"CELSR2, PSRC1","Coronary artery disease","coronary artery disease",'-,GCST002289,1:109278889
rs6725887-<b>C</b>,"2 x 10-8",,NR,1.14,'-,[1.10-1.19],WDR12,"Coronary artery disease","coronary artery disease",'-,GCST002289,2:202881162
rs7173743-<b>?</b>,"7 x 10-8",,NR,1.0753,'-,[1.05-1.11],MORF4L1,"Coronary artery disease","coronary artery disease",'-,GCST002289,15:78849442
rs9818870-<b>T</b>,"1 x 10-7",,NR,1.11,'-,[1.07-1.15],MRAS,"Coronary artery disease","coronary artery disease",'-,GCST002289,3:138403280
rs2281727-<b>G</b>,"1 x 10-7",,NR,1.07,'-,[1.04-1.10],SMG6,"Coronary artery disease","coronary artery disease",'-,GCST002289,17:2214651
rs12936587-<b>?</b>,"2 x 10-7",,NR,1.0753,'-,[1.04-1.11],"PEMT, SMCR2","Coronary artery disease","coronary artery disease",'-,GCST002289,17:17640408
rs579459-<b>C</b>,"2 x 10-7",,NR,1.1,'-,[1.06-1.14],"ABO, Y_RNA","Coronary artery disease","coronary artery disease",'-,GCST002289,9:133278724
rs264-<b>?</b>,"3 x 10-7",,NR,1.1111,'-,[1.06-1.15],LPL,"Coronary artery disease","coronary artery disease",'-,GCST002289,8:19955669
rs9326246-<b>C</b>,"3 x 10-7",,NR,1.15,'-,[1.09-1.21],"LINC02702, BUD13","Coronary artery disease","coronary artery disease",'-,GCST002289,11:116741017
rs3184504-<b>T</b>,"9 x 10-7",,NR,1.07,'-,[1.04-1.11],"ATXN2, SH2B3","Coronary artery disease","coronary artery disease",'-,GCST002289,12:111446804
rs1878406-<b>T</b>,"1 x 10-6",,NR,1.1,'-,[1.06-1.14],"PRMT5P1, EDNRA","Coronary artery disease","coronary artery disease",'-,GCST002289,4:147472512
rs12413409-<b>?</b>,"1 x 10-6",,NR,1.1236,'-,[1.08-1.19],CNNM2,"Coronary artery disease","coronary artery disease",'-,GCST002289,10:102959339
rs2048327-<b>C</b>,"1 x 10-6",,NR,1.07,'-,[1.05-1.10],SLC22A3,"Coronary artery disease","coronary artery disease",'-,GCST002289,6:160442500
rs501120-<b>?</b>,"2 x 10-6",,NR,1.087,'-,[1.05-1.14],LINC02881,"Coronary artery disease","coronary artery disease",'-,GCST002289,10:44258419
rs4773144-<b>G</b>,"2 x 10-6",,NR,1.08,'-,[1.05-1.12],COL4A2,"Coronary artery disease","coronary artery disease",'-,GCST002289,13:110308365
rs12205331-<b>?</b>,"6 x 10-6",,NR,1.0753,'-,[1.04-1.11],ANKS1A,"Coronary artery disease","coronary artery disease",'-,GCST002289,6:34930678
rs6905288-<b>T</b>,"7 x 10-8",,NR,1.23,'-,[NR],"VEGFA, LINC02537","Coronary heart disease","coronary artery disease",'-,GCST001401,6:43791136
rs12200560-<b>?</b>,"6 x 10-7",,NR,1.11,'-,[NR],"RPS7P8, FHL5","Coronary heart disease","coronary artery disease",'-,GCST001401,6:96632322
rs17458018-<b>?</b>,"7 x 10-6",,NR,1.22,'-,[NR],FN1,"Coronary heart disease","coronary artery disease",'-,GCST001401,2:215420652
rs3869109-<b>G</b>,"1 x 10-9",,NR,1.14,'-,[NR],"HCG27, HLA-C","Coronary heart disease","coronary artery disease",'-,GCST001401,6:31216419
rs2229238-<b>?</b>,"7 x 10-7",,NR,1.45,'-,[NR],IL6R,"Coronary heart disease","coronary artery disease",'-,GCST001401,1:154465420
"rs12091564-<b>C</b> x rs10218795-<b>C</b>","2 x 10-7",,NR,'-,'-,'-,"No mapped genes x HJV","Coronary heart disease (SNP X SNP interaction)","coronary artery disease",'-,GCST001084,1:146018957
"rs11924705-<b>C</b> x rs6789378-<b>A</b>","4 x 10-14",,NR,'-,'-,'-,"No mapped genes x N/A - TOMM22P6","Coronary heart disease (SNP X SNP interaction)","coronary artery disease",'-,GCST001084,3:162449608
"rs7697839-<b>G</b> x rs7673097-<b>G</b>","2 x 10-11",,NR,'-,'-,'-,"No mapped genes x STK32B","Coronary heart disease (SNP X SNP interaction)","coronary artery disease",'-,GCST001084,4:5366497
"rs1333048-<b>G</b> x rs1333049-<b>G</b>","7 x 10-14",,NR,'-,'-,'-,"CDKN2B-AS1 x CDKN2B-AS1","Coronary heart disease (SNP X SNP interaction)","coronary artery disease",'-,GCST001084,9:22125348|9:22125504
"rs1165668-<b>G</b> x rs1165669-<b>C</b>","3 x 10-9",,NR,'-,'-,'-,"No mapped genes x TTC41P","Coronary heart disease (SNP X SNP interaction)","coronary artery disease",'-,GCST001084,12:103924394
rs1412444-<b>T</b>,"4 x 10-8",,0.32,1.1,'-,[1.07-1.14],LIPA,"Coronary heart disease","coronary artery disease",'-,GCST001079,10:89243170
rs365302-<b>C</b>,"8 x 10-7",,0.24,1.11,'-,[1.06-1.15],FNDC1,"Coronary heart disease","coronary artery disease",'-,GCST001079,6:159225301
rs16893526-<b>G</b>,"5 x 10-6",,0.91,1.13,'-,[1.07-1.21],"SNORA70, LINC01526","Coronary heart disease","coronary artery disease",'-,GCST001079,6:81805598
rs1333049-<b>C</b>,"7 x 10-58",,0.49,1.27,'-,[1.23-1.31],CDKN2B-AS1,"Coronary heart disease","coronary artery disease",'-,GCST001079,9:22125504
rs7865618-<b>A</b>,"2 x 10-27",,0.59,1.18,'-,[1.14-1.21],CDKN2B-AS1,"Coronary heart disease","coronary artery disease",'-,GCST001079,9:22031006
rs7421388-<b>G</b>,"2 x 10-10",,0.79,1.2987013,'-,[NR],PLCL1,"Coronary artery disease","coronary artery disease",'-,GCST003470,2:198223806
rs13082914-<b>T</b>,"3 x 10-10",,0.22,1.21,'-,[NR],KCNAB1,"Coronary artery disease","coronary artery disease",'-,GCST003470,3:156287165
rs9985766-<b>G</b>,"8 x 10-10",,0.16,1.35,'-,[NR],DCLK2,"Coronary artery disease","coronary artery disease",'-,GCST003470,4:150108918
rs16880442-<b>G</b>,"6 x 10-7",,0.93,1.3888888,'-,[NR],"B3GNTL1P1, ITGA1","Coronary artery disease","coronary artery disease",'-,GCST003470,5:52889863
rs17775862-<b>T</b>,"3 x 10-7",,0.06,1.55,'-,[NR],'-,"Coronary artery disease","coronary artery disease",'-,GCST003470,6:156266980
rs12541758-<b>T</b>,"5 x 10-13",,0.4,1.25,'-,[NR],'-,"Coronary artery disease","coronary artery disease",'-,GCST003470,8:72230147
rs10738607-<b>G</b>,"2 x 10-13",,0.64,1.2820514,'-,[NR],CDKN2B-AS1,"Coronary artery disease","coronary artery disease",'-,GCST003470,9:22088095
rs10981012-<b>A</b>,"1 x 10-9",,0.13,1.34,'-,[NR],SHOC1,"Coronary artery disease","coronary artery disease",'-,GCST003470,9:111690726
rs1746049-<b>C</b>,"2 x 10-9",,0.72,1.25,'-,[NR],LINC02881,"Coronary artery disease","coronary artery disease",'-,GCST003470,10:44280862
rs17087335-<b>T</b>,"5 x 10-8","(additive model)",0.21,1.06,'-,[1.04-1.09],NOA1,"Coronary artery disease","coronary artery disease",'-,GCST003116,4:56972417
rs2681472-<b>G</b>,"6 x 10-11",,0.201306,1.08,'-,"[1.05- 1.10]",ATP2B1,"Coronary artery disease","coronary artery disease",'-,GCST003116,12:89615182
rs2128739-<b>A</b>,"7 x 10-11",,0.323536,1.07,'-,"[1.05- 1.09]","DYNC2H1, MIR4693","Coronary artery disease","coronary artery disease",'-,GCST003116,11:103802549
rs4420638-<b>G</b>,"7 x 10-11",,0.166036,1.1,'-,"[1.07- 1.13]","APOC1, APOC1P1","Coronary artery disease","coronary artery disease",'-,GCST003116,19:44919689
rs2107595-<b>A</b>,"8 x 10-11",,0.20047,1.08,'-,"[1.05- 1.10]","HDAC9, TWIST1","Coronary artery disease","coronary artery disease",'-,GCST003116,7:19009765
rs3918226-<b>T</b>,"2 x 10-9","(additive model)",0.06,1.14,'-,[1.09-1.19],NOS3,"Coronary artery disease","coronary artery disease",'-,GCST003116,7:150993088
rs56062135-<b>C</b>,"5 x 10-9","(additive model)",0.79,1.07,'-,[1.05-1.10],SMAD3,"Coronary artery disease","coronary artery disease",'-,GCST003116,15:67163292
rs8042271-<b>G</b>,"4 x 10-8","(additive model)",0.9,1.1,'-,[1.06-1.14],"KRT18P47, CARMAL","Coronary artery disease","coronary artery disease",'-,GCST003116,15:89030987
rs7212798-<b>C</b>,"2 x 10-8","(additive model)",0.15,1.08,'-,[1.05-1.11],BCAS3,"Coronary artery disease","coronary artery disease",'-,GCST003116,17:60936127
rs663129-<b>A</b>,"3 x 10-8","(additive model)",0.26,1.06,'-,[1.04-1.08],"MC4R, RNU4-17P","Coronary artery disease","coronary artery disease",'-,GCST003116,18:60171168
rs180803-<b>G</b>,"2 x 10-10","(additive model)",0.97,1.2,'-,[1.13-1.27],"BCRP1, POM121L9P","Coronary artery disease","coronary artery disease",'-,GCST003116,22:24262890
rs12976411-<b>A</b>,"1 x 10-14","(recessive model)",0.09,1.4925373,'-,[1.35-1.67],DPY19L3-DT,"Coronary artery disease","coronary artery disease",'-,GCST003116,19:32391114
rs11830157-<b>G</b>,"2 x 10-9","(recessive model)",0.36,1.12,'-,[1.08-1.16],KSR2,"Coronary artery disease","coronary artery disease",'-,GCST003116,12:117827636
rs10840293-<b>A</b>,"1 x 10-8","(additive model)",0.55,1.06,'-,[1.04-1.08],SWAP70,"Coronary artery disease","coronary artery disease",'-,GCST003116,11:9729649
rs2891168-<b>G</b>,"2 x 10-98",,0.488668,1.21,'-,"[1.19- 1.24]",CDKN2B-AS1,"Coronary artery disease","coronary artery disease",'-,GCST003116,9:22098620
rs9349379-<b>G</b>,"2 x 10-42",,0.431606,1.14,'-,"[1.12- 1.16]",PHACTR1,"Coronary artery disease","coronary artery disease",'-,GCST003116,6:12903725
rs55730499-<b>T</b>,"5 x 10-39",,0.056243,1.37,'-,"[1.31- 1.44]",LPA,"Coronary artery disease","coronary artery disease",'-,GCST003116,6:160584578
rs4252185-<b>C</b>,"2 x 10-32",,0.059661,1.34,'-,"[1.28- 1.41]",PLG,"Coronary artery disease","coronary artery disease",'-,GCST003116,6:160702419
rs7528419-<b>A</b>,"2 x 10-23",,0.78582,1.12,'-,"[1.10- 1.15]",CELSR2,"Coronary artery disease","coronary artery disease",'-,GCST003116,1:109274570
rs4468572-<b>C</b>,"4 x 10-16",,0.585831,1.08,'-,"[1.06- 1.10]",MORF4L1,"Coronary artery disease","coronary artery disease",'-,GCST003116,15:78832133
rs28451064-<b>A</b>,"1 x 10-15",,0.121186,1.14,'-,"[1.10- 1.17]","LINC00310, KCNE2","Coronary artery disease","coronary artery disease",'-,GCST003116,21:34221526
rs56289821-<b>G</b>,"4 x 10-15",,0.899622,1.14,'-,"[1.11- 1.18]",SMARCA4,"Coronary artery disease","coronary artery disease",'-,GCST003116,19:11077571
rs1870634-<b>G</b>,"6 x 10-15",,0.637485,1.08,'-,"[1.06- 1.10]",LINC00841,"Coronary artery disease","coronary artery disease",'-,GCST003116,10:43985363
rs9970807-<b>C</b>,"5 x 10-14",,0.915097,1.13,'-,"[1.10- 1.17]",PLPP3,"Coronary artery disease","coronary artery disease",'-,GCST003116,1:56499992
rs67180937-<b>G</b>,"1 x 10-12",,0.663052,1.08,'-,"[1.06- 1.11]",MIA3,"Coronary artery disease","coronary artery disease",'-,GCST003116,1:222650401
rs1412444-<b>T</b>,"5 x 10-12",,0.369131,1.07,'-,"[1.05- 1.09]",LIPA,"Coronary artery disease","coronary artery disease",'-,GCST003116,10:89243170
rs11556924-<b>C</b>,"5 x 10-11",,0.686675,1.08,'-,"[1.05- 1.10]",ZC3HC1,"Coronary artery disease","coronary artery disease",'-,GCST003116,7:130023656
rs11838776-<b>A</b>,"1 x 10-10",,0.263277,1.07,'-,"[1.05- 1.09]",COL4A2,"Coronary artery disease","coronary artery disease",'-,GCST003116,13:110388334
rs7568458-<b>A</b>,"4 x 10-10",,0.448518,1.06,'-,"[1.04- 1.08]",GGCX,"Coronary artery disease","coronary artery disease",'-,GCST003116,2:85561052
rs4593108-<b>C</b>,"9 x 10-10",,0.795349,1.07,'-,"[1.05- 1.10]","MIR548G, PRMT5P1","Coronary artery disease","coronary artery disease",'-,GCST003116,4:147359849
rs3184504-<b>T</b>,"1 x 10-9",,0.421808,1.07,'-,"[1.04- 1.09]","ATXN2, SH2B3","Coronary artery disease","coronary artery disease",'-,GCST003116,12:111446804
rs6689306-<b>A</b>,"3 x 10-9",,0.447545,1.06,'-,"[1.04- 1.08]",IL6R,"Coronary artery disease","coronary artery disease",'-,GCST003116,1:154423470
rs17678683-<b>G</b>,"3 x 10-9",,0.087681,1.1,'-,"[1.07- 1.14]",LINC01412,"Coronary artery disease","coronary artery disease",'-,GCST003116,2:144528992
rs11191416-<b>T</b>,"5 x 10-9",,0.87253,1.08,'-,"[1.05- 1.11]",PFN1P11,"Coronary artery disease","coronary artery disease",'-,GCST003116,10:102845159
